v1	v2	label
22806	5892	1
22806	26051	1
22806	29948	1
22806	55633	1
22806	56891	1
22806	56915	1
5914	6258	1
54474	3860	1
54474	5987	1
125115	6615	1
125115	7490	1
83897	3198	1
3884	338785	1
8687	3853	1
3860	3853	1
84313	11267	1
2896	3198	1
2896	388818	1
80174	5987	1
2670	9124	1
10614	10614	1
80279	8468	1
10241	4342	1
10241	6464	1
10241	8115	1
10241	64518	1
10241	84904	1
10241	112858	1
11267	84313	1
10140	29883	1
4830	4830	1
140735	10126	1
3838	64802	1
23580	171483	1
30833	30833	1
51181	51181	1
79415	10488	1
1068	134359	1
6760	84807	1
10982	7185	1
7572	7572	1
220134	1838	1
4089	4088	1
51298	2275	1
5725	6626	1
92960	10488	1
126003	23582	1
5300	80764	1
1032	1021	1
1032	1019	1
57474	23281	1
5886	7186	1
81576	7186	1
81576	7572	1
81576	7718	1
66002	10488	1
29086	5987	1
29086	9577	1
9454	9454	1
56301	10488	1
5349	10488	1
84807	6760	1
1891	7185	1
56891	2670	1
56891	22806	1
6626	6626	1
56915	11340	1
5817	7780	1
79760	79833	1
339345	23582	1
1406	5565	1
56344	387032	1
56344	388324	1
163071	11275	1
51171	51171	1
51171	55093	1
51171	5252	1
2512	2512	1
23636	1838	1
23636	3298	1
23636	9818	1
79165	23641	1
79165	54763	1
7138	23582	1
51545	23281	1
29903	468	1
29903	171483	1
27111	54819	1
27111	55646	1
5111	1026	1
5111	5111	1
598	578	1
22919	22919	1
26051	1406	1
26051	22806	1
958	7186	1
112858	23582	1
9825	5987	1
9825	7186	1
6615	5987	1
79444	842	1
79444	5252	1
84619	5987	1
84619	23641	1
388818	2896	1
874	6386	1
875	875	1
1312	10488	1
80764	5300	1
80764	7186	1
4282	4282	1
91445	10477	1
27128	2353	1
84645	23582	1
11144	6386	1
11144	11144	1
11144	26003	1
10126	140735	1
468	23641	1
468	29903	1
11252	11252	1
638	598	1
706	90993	1
171483	7518	1
171483	23580	1
171483	23623	1
171483	29903	1
171483	60314	1
56474	56474	1
10159	10488	1
27238	7186	1
170626	64395	1
23641	468	1
23641	2669	1
23641	7138	1
23641	9491	1
23641	11170	1
23641	63898	1
23641	65265	1
23641	79165	1
23641	84619	1
23641	342132	1
4107	25801	1
4103	80700	1
8269	10488	1
