v1	ppiDB1	v2	ppiDB2	label	set
64395	0	170626	15057	1	Seen
9027	13887	10488	11820	1	One Unseen
10617	2573	9319	17811	1	Unseen
150483	1972	4103	17696	1	One Unseen
150483	1972	5914	16076	1	One Unseen
1329	17117	24144	5115	1	One Unseen
25972	6196	10488	11820	1	Unseen
2274	15756	54971	16011	1	One Unseen
2274	15756	55802	16616	1	Unseen
2274	15756	80212	20029	1	One Unseen
2274	15756	388324	3404	1	Unseen
8440	10164	8045	19948	1	One Unseen
90557	12762	23281	2852	1	Seen
151531	7482	151531	7482	1	Unseen
25801	12606	4107	12176	1	One Unseen
26003	16170	1808	1653	1	Seen
26003	16170	1967	5359	1	One Unseen
26003	16170	11144	6076	1	Seen
26003	16170	91703	19321	1	Seen
26003	16170	5998	7884	1	Seen
26003	16170	10935	9311	1	Seen
1123	21417	8440	10164	1	One Unseen
1123	21417	51409	8019	1	One Unseen
10477	4235	4281	12515	1	One Unseen
10477	4235	56658	16039	1	One Unseen
91526	0	11060	15040	1	Seen
60491	4399	5987	3296	1	Seen
60491	4399	8601	12889	1	Seen
60491	4399	60491	4399	1	Seen
151194	11198	63920	12498	1	One Unseen
84812	9205	56658	16039	1	Seen
29926	12052	29925	0	1	One Unseen
5915	15774	6258	16073	1	Seen
55768	12445	5886	11960	1	One Unseen
4292	8642	3838	4862	1	One Unseen
4292	8642	4656	9166	1	One Unseen
131377	7334	136895	20210	1	One Unseen
91392	11943	7185	13651	1	One Unseen
327	152	327	152	1	Seen
10293	8981	10982	7487	1	Unseen
51409	8019	1123	21417	1	One Unseen
95	2012	95	2012	1	Seen
55802	16616	2274	15756	1	Unseen
50650	16850	5987	3296	1	Seen
26060	4300	7186	12713	1	One Unseen
26060	4300	26060	4300	1	Seen
26060	4300	55198	5039	1	One Unseen
200845	16640	1962	3550	1	One Unseen
11170	19177	7186	12713	1	Unseen
11170	19177	123722	19054	1	One Unseen
2272	16995	2272	16995	1	Unseen
868	1206	26003	16170	1	Seen
9666	21096	54819	22100	1	One Unseen
3059	0	63898	19634	1	Seen
54763	17597	79165	17276	1	One Unseen
54763	17597	84708	13716	1	One Unseen
28999	4567	5565	20294	1	Unseen
80325	17085	8452	19436	1	Seen
2624	22056	2275	19329	1	Seen
57088	10915	23281	2852	1	Seen
57088	10915	388677	21319	1	One Unseen
7104	5856	10488	11820	1	Unseen
286827	19500	10490	7626	1	One Unseen
5276	13872	7917	9798	1	One Unseen
10195	11654	10488	11820	1	One Unseen
1962	3550	60	3925	1	Seen
1962	3550	4281	12515	1	Seen
1962	3550	7174	20204	1	Seen
1962	3550	10318	17412	1	Seen
1962	3550	200845	16640	1	One Unseen
55646	0	27111	16926	1	One Unseen
166793	5251	57120	20643	1	One Unseen
55286	17380	11235	9939	1	One Unseen
92689	10855	51324	3734	1	One Unseen
53371	5962	9818	0	1	Seen
53371	5962	23636	13453	1	Seen
10098	19954	10488	11820	1	One Unseen
56898	10392	56898	10392	1	Unseen
839	6200	839	6200	1	Unseen
817	13920	817	13920	1	Seen
817	13920	10126	15593	1	One Unseen
817	13920	54971	16011	1	Seen
817	13920	65003	18901	1	Seen
10252	5516	388677	21319	1	One Unseen
132321	16857	9319	17811	1	One Unseen
2993	6003	10488	11820	1	One Unseen
11275	10799	51060	6956	1	Seen
11275	10799	8452	19436	1	Seen
11275	10799	11275	10799	1	Seen
11275	10799	163071	21566	1	Seen
11199	2757	80153	7829	1	Seen
55722	19038	84708	13716	1	Unseen
9319	17811	10617	2573	1	Unseen
635	15213	635	15213	1	Seen
84654	3803	1838	19974	1	Seen
7518	14473	7518	14473	1	Seen
345757	5380	10488	11820	1	One Unseen
10112	16228	80256	16544	1	Seen
153769	0	23281	2852	1	Seen
134265	16810	10912	6117	1	One Unseen
10318	17412	7128	18899	1	Seen
10318	17412	10403	2574	1	Seen
63920	12498	151194	11198	1	One Unseen
85007	10554	85007	10554	1	Seen
85007	10554	222484	18822	1	One Unseen
5601	8191	1386	2924	1	Seen
2762	1099	2762	1099	1	Seen
9247	14218	1406	10864	1	One Unseen
9247	14218	2275	19329	1	One Unseen
51256	19229	51361	4655	1	One Unseen
29116	8043	222484	18822	1	One Unseen
51053	14024	51053	14024	1	Seen
7718	9369	1856	15354	1	Seen
387032	17361	7572	8434	1	Seen
84547	5615	7572	8434	1	Seen
84547	5615	84547	5615	1	Seen
84547	5615	7186	12713	1	One Unseen
84547	5615	342945	10705	1	Seen
5987	3296	2275	19329	1	Seen
5987	3296	4938	1067	1	Seen
4049	4722	10488	11820	1	One Unseen
7918	13320	5987	3296	1	One Unseen
7920	11324	10488	11820	1	One Unseen
5252	0	51171	7174	1	Seen
221504	5903	1838	19974	1	Seen
578	19612	598	2161	1	One Unseen
29993	7811	29993	7811	1	Seen
222662	20449	10488	11820	1	One Unseen
1026	4181	595	638	1	One Unseen
1026	4181	5111	5982	1	One Unseen
1026	4181	896	568	1	One Unseen
55633	13282	22806	9242	1	One Unseen
9477	4295	54797	20472	1	One Unseen
896	568	1019	16355	1	One Unseen
896	568	1021	8094	1	One Unseen
896	568	24144	5115	1	Seen
896	568	1026	4181	1	One Unseen
27232	10524	27232	10524	1	Unseen
27232	10524	55093	10502	1	Unseen
7180	8780	10488	11820	1	One Unseen
114327	14110	6925	5961	1	One Unseen
114327	14110	22806	9242	1	One Unseen
9457	7650	10126	15593	1	One Unseen
9457	7650	80256	16544	1	Seen
57120	20643	57120	20643	1	Seen
2697	6589	10488	11820	1	Unseen
3298	22077	23281	2852	1	Seen
3298	22077	23636	13453	1	Seen
9053	20244	23582	17607	1	Unseen
7128	18899	7128	18899	1	Seen
167838	19916	8687	3703	1	One Unseen
167838	19916	51019	3896	1	One Unseen
167838	19916	541468	2956	1	One Unseen
8504	20852	5824	13960	1	One Unseen
5689	4410	3860	0	1	Seen
5689	4410	5987	3296	1	Seen
5689	4410	7185	13651	1	Seen
60	3925	60	3925	1	Seen
136895	20210	131377	7334	1	One Unseen
3198	6373	2896	6390	1	Seen
3198	6373	8601	12889	1	Seen
273	5182	339231	7675	1	Seen
51619	8896	27246	1677	1	One Unseen
5723	19158	5723	19158	1	Unseen
5723	19158	6464	22329	1	One Unseen
435	4429	435	4429	1	Seen
8468	12504	80279	21506	1	Seen
84277	18744	10488	11820	1	One Unseen
3092	1241	3092	1241	1	Unseen
10926	21299	8317	324	1	One Unseen
1021	8094	1031	10145	1	Unseen
1021	8094	1032	2445	1	Unseen
440	12955	140691	5510	1	Seen
79027	3017	60561	6849	1	Unseen
8985	20505	80258	5026	1	One Unseen
51024	15570	10488	11820	1	One Unseen
60561	6849	79027	3017	1	Unseen
835	13100	835	13100	1	Seen
7791	7113	51317	18414	1	Seen
27010	20668	27010	20668	1	Seen
7516	16656	5892	4595	1	One Unseen
66036	11364	4342	6420	1	One Unseen
66036	11364	9108	7093	1	Unseen
66036	11364	84708	13716	1	Unseen
83648	13989	64395	0	1	One Unseen
640	16092	6774	8172	1	Seen
640	16092	10278	6239	1	Seen
29883	9579	10140	9217	1	Seen
9108	7093	66036	11364	1	Unseen
63898	19634	23641	12471	1	One Unseen
63898	19634	24144	5115	1	Seen
6440	0	6440	0	1	Seen
6440	0	84283	14307	1	One Unseen
10687	14162	6386	1253	1	Unseen
1808	1653	1808	1653	1	Seen
1808	1653	26003	16170	1	Seen
5423	1453	7174	20204	1	Seen
4342	6420	10241	17720	1	Seen
4342	6420	66036	11364	1	One Unseen
137886	10316	55768	12445	1	One Unseen
6386	1253	874	218	1	One Unseen
6386	1253	2495	7538	1	One Unseen
2669	3766	23281	2852	1	Seen
2669	3766	23641	12471	1	One Unseen
4956	15838	23281	2852	1	One Unseen
5885	9102	2275	19329	1	Seen
55093	10502	60	3925	1	One Unseen
55093	10502	329	8928	1	Unseen
55093	10502	978	5659	1	One Unseen
55093	10502	1967	5359	1	Unseen
55093	10502	2495	7538	1	One Unseen
55093	10502	4282	2353	1	One Unseen
55093	10502	4830	17749	1	One Unseen
55093	10502	27232	10524	1	Unseen
55093	10502	51074	16637	1	One Unseen
55093	10502	51171	7174	1	One Unseen
55093	10502	54472	12698	1	Unseen
55093	10502	114824	14690	1	One Unseen
55093	10502	256281	6398	1	Unseen
79792	7412	200845	16640	1	One Unseen
51160	17392	7251	1564	1	Seen
65265	10345	23641	12471	1	Unseen
158297	3370	2274	15756	1	One Unseen
158297	3370	2275	19329	1	Seen
84904	20869	10241	17720	1	Seen
10488	11820	598	2161	1	One Unseen
10488	11820	638	13871	1	Unseen
10488	11820	2328	18713	1	Unseen
10488	11820	2697	6589	1	Unseen
10488	11820	2993	6003	1	One Unseen
10488	11820	3775	5569	1	Unseen
10488	11820	4049	4722	1	One Unseen
10488	11820	9027	13887	1	One Unseen
10488	11820	9445	12000	1	Unseen
10488	11820	10100	5893	1	One Unseen
10488	11820	10159	6928	1	One Unseen
10488	11820	10490	7626	1	One Unseen
10488	11820	54708	3442	1	One Unseen
10488	11820	55454	11964	1	Unseen
10488	11820	66002	14839	1	One Unseen
10488	11820	79415	9127	1	One Unseen
10488	11820	80221	20813	1	One Unseen
10488	11820	81855	8108	1	One Unseen
10488	11820	92960	9063	1	One Unseen
10488	11820	222662	20449	1	One Unseen
10488	11820	345757	5380	1	One Unseen
10912	6117	134265	16810	1	One Unseen
8789	9957	8789	9957	1	Seen
8789	9957	2203	8486	1	Seen
2203	8486	2203	8486	1	Seen
2203	8486	8789	9957	1	Seen
2203	8486	9513	19813	1	Seen
5887	10483	55768	12445	1	Seen
7185	13651	7186	12713	1	One Unseen
92399	15113	5987	3296	1	One Unseen
23099	15832	7186	12713	1	One Unseen
64170	1674	57144	17215	1	Seen
7186	12713	7128	18899	1	One Unseen
7186	12713	7185	13651	1	One Unseen
7186	12713	7186	12713	1	Unseen
9022	3057	80258	5026	1	Unseen
27158	71	6925	5961	1	Seen
27158	71	57019	14996	1	Seen
27158	71	80125	0	1	Seen
27158	71	23281	2852	1	Seen
27158	71	84260	3126	1	One Unseen
84991	16994	55165	0	1	Seen
80013	17094	5886	11960	1	Unseen
10529	2244	7185	13651	1	One Unseen
10529	2244	7186	12713	1	Unseen
55454	11964	10488	11820	1	Unseen
220965	12932	24144	5115	1	One Unseen
220965	12932	374355	5803	1	One Unseen
64081	19130	80258	5026	1	One Unseen
50674	18413	6938	511	1	Unseen
311	11862	55165	0	1	One Unseen
54708	3442	10488	11820	1	One Unseen
55165	0	311	11862	1	One Unseen
55165	0	10015	22314	1	One Unseen
55165	0	84285	2284	1	Seen
55165	0	84991	16994	1	Seen
55165	0	51019	3896	1	One Unseen
55165	0	55200	17159	1	One Unseen
55165	0	55165	0	1	Seen
9124	1766	2670	6006	1	Seen
51013	9	6925	5961	1	Seen
51013	9	56915	8716	1	One Unseen
81855	8108	10488	11820	1	One Unseen
374355	5803	84260	3126	1	One Unseen
374355	5803	220965	12932	1	One Unseen
10935	9311	26003	16170	1	Seen
80007	10818	222484	18822	1	One Unseen
6050	18323	6386	1253	1	One Unseen
8045	19948	8440	10164	1	One Unseen
23647	16634	23647	16634	1	Seen
3611	4675	5987	3296	1	Seen
3939	1843	3939	1843	1	Seen
7490	18776	125115	13358	1	One Unseen
51074	16637	51074	16637	1	Seen
51074	16637	55093	10502	1	One Unseen
84680	1284	84680	1284	1	Unseen
51317	18414	2275	19329	1	Seen
51317	18414	7185	13651	1	Seen
51317	18414	7791	7113	1	Seen
51317	18414	23636	13453	1	Seen
51317	18414	54971	16011	1	Seen
29763	8463	29993	7811	1	One Unseen
5866	16574	5866	16574	1	Unseen
2495	7538	2495	7538	1	Seen
2495	7538	2512	2150	1	One Unseen
2495	7538	6386	1253	1	One Unseen
2495	7538	55093	10502	1	One Unseen
26580	0	26580	0	1	Seen
254187	8628	23281	2852	1	Seen
84285	2284	9779	21155	1	Seen
84285	2284	55165	0	1	Seen
65003	18901	817	13920	1	Seen
91703	19321	26003	16170	1	Seen
91703	19321	91703	19321	1	Seen
595	638	1019	16355	1	One Unseen
8772	984	8772	984	1	Seen
3846	6257	353132	15460	1	Seen
329	8928	329	8928	1	Unseen
329	8928	842	18677	1	Unseen
329	8928	55093	10502	1	Unseen
329	8928	79444	17631	1	One Unseen
414301	4342	60491	4399	1	Seen
414301	4342	414301	4342	1	Seen
120379	12447	2670	6006	1	Seen
5805	14620	5805	14620	1	Seen
5805	14620	55093	10502	1	One Unseen
5805	14620	6386	1253	1	One Unseen
5805	14620	9513	19813	1	Seen
84811	16146	27238	8623	1	One Unseen
55200	17159	55165	0	1	One Unseen
51267	4394	10488	11820	1	One Unseen
1027	16287	7186	12713	1	One Unseen
5318	6079	23281	2852	1	Seen
83448	1587	5987	3296	1	Seen
113251	6913	1406	10864	1	Seen
3853	20666	24144	5115	1	Seen
3853	20666	8687	3703	1	One Unseen
3849	13408	3860	0	1	Seen
3849	13408	8687	3703	1	One Unseen
338785	4537	3860	0	1	Seen
338785	4537	3884	12367	1	Seen
338785	4537	8687	3703	1	One Unseen
10193	3264	10193	3264	1	Unseen
506	11222	91647	16795	1	One Unseen
506	11222	222484	18822	1	One Unseen
1019	16355	595	638	1	One Unseen
1019	16355	896	568	1	One Unseen
1019	16355	1031	10145	1	Unseen
196477	11647	388677	21319	1	One Unseen
121457	9342	4656	9166	1	Seen
51019	3896	10403	2574	1	One Unseen
51019	3896	57326	20471	1	Unseen
51019	3896	200081	2670	1	One Unseen
55198	5039	79723	16556	1	One Unseen
55198	5039	5878	9196	1	Unseen
55198	5039	26060	4300	1	One Unseen
4598	15242	4598	15242	1	Unseen
84260	3126	5987	3296	1	One Unseen
4938	1067	5987	3296	1	Seen
113675	9000	113675	9000	1	Unseen
160777	6681	23281	2852	1	One Unseen
79720	6628	51160	17392	1	Seen
1967	5359	1967	5359	1	Unseen
80212	20029	2274	15756	1	One Unseen
221150	6282	220134	6762	1	One Unseen
9818	0	7185	13651	1	Seen
9818	0	23636	13453	1	Seen
222484	18822	5601	8191	1	One Unseen
222484	18822	506	11222	1	One Unseen
222484	18822	29116	8043	1	One Unseen
222484	18822	80007	10818	1	One Unseen
222484	18822	85007	10554	1	One Unseen
23281	2852	5318	6079	1	Seen
23281	2852	5866	16574	1	One Unseen
23281	2852	6615	6208	1	One Unseen
23281	2852	6723	4449	1	Seen
23281	2852	22796	7473	1	Seen
23281	2852	57088	10915	1	Seen
23281	2852	79673	8694	1	One Unseen
23281	2852	80256	16544	1	Seen
23281	2852	80764	1160	1	Seen
23281	2852	112858	18884	1	Seen
23281	2852	114822	13146	1	Seen
23281	2852	153769	0	1	Seen
23281	2852	254187	8628	1	Seen
11340	1664	56915	8716	1	Unseen
2098	13660	2098	13660	1	Unseen
9445	12000	10488	11820	1	Unseen
115761	11078	9319	17811	1	One Unseen
9724	4288	9659	0	1	Seen
7174	20204	1962	3550	1	Seen
7174	20204	5423	1453	1	Seen
91875	12365	817	13920	1	Seen
57820	4663	57820	4663	1	Seen
4860	12714	4860	12714	1	Seen
10668	82	10488	11820	1	One Unseen
3958	15283	3958	15283	1	Seen
10490	7626	10488	11820	1	One Unseen
10490	7626	388633	9013	1	One Unseen
78990	14143	23201	371	1	Seen
8115	9609	1788	2410	1	One Unseen
8115	9609	10241	17720	1	One Unseen
51550	16385	8548	21085	1	Seen
256281	6398	256281	6398	1	Unseen
23582	17607	7138	16638	1	One Unseen
23582	17607	9053	20244	1	Unseen
23582	17607	80764	1160	1	One Unseen
23582	17607	84645	12929	1	One Unseen
23582	17607	112858	18884	1	One Unseen
23582	17607	126003	7782	1	Unseen
23582	17607	339345	16112	1	One Unseen
6652	19407	6652	19407	1	Seen
6938	511	1031	10145	1	Unseen
51324	3734	6938	511	1	Unseen
51324	3734	7186	12713	1	Unseen
4088	3739	4089	12066	1	Seen
4088	3739	9372	11608	1	One Unseen
4088	3739	80125	0	1	Seen
80125	0	640	16092	1	Seen
80125	0	4088	3739	1	Seen
80125	0	5565	20294	1	One Unseen
80125	0	55324	21553	1	One Unseen
80153	7829	80153	7829	1	Seen
123722	19054	2098	13660	1	One Unseen
342132	1008	23641	12471	1	Unseen
146540	10070	23281	2852	1	One Unseen
23568	4242	402	1580	1	One Unseen
57019	14996	27158	71	1	Seen
11060	15040	91526	0	1	Seen
6898	13958	6898	13958	1	Seen
54957	13708	6925	5961	1	One Unseen
11345	10032	9779	21155	1	One Unseen
54971	16011	817	13920	1	Seen
54971	16011	5565	20294	1	One Unseen
54971	16011	51317	18414	1	Seen
54971	16011	153769	0	1	Seen
388324	3404	1032	2445	1	Unseen
388324	3404	2274	15756	1	Unseen
1856	15354	7157	9105	1	Seen
1856	15354	7186	12713	1	One Unseen
9513	19813	2203	8486	1	Seen
9513	19813	2495	7538	1	Seen
9513	19813	5805	14620	1	Seen
9513	19813	55633	13282	1	One Unseen
112483	3332	112483	3332	1	Seen
7157	9105	1856	15354	1	Seen
146849	10105	24144	5115	1	Seen
64518	14712	10241	17720	1	Seen
642	4142	642	4142	1	Unseen
642	4142	55093	10502	1	Unseen
5892	4595	22806	9242	1	One Unseen
5892	4595	7516	16656	1	One Unseen
6351	15587	7780	2462	1	Seen
22806	9242	1032	2445	1	One Unseen
22806	9242	5565	20294	1	One Unseen
22806	9242	5892	4595	1	One Unseen
22806	9242	26051	5731	1	Seen
22806	9242	29948	13226	1	Seen
22806	9242	55633	13282	1	One Unseen
22806	9242	56891	4514	1	One Unseen
22806	9242	56915	8716	1	One Unseen
22806	9242	114327	14110	1	One Unseen
5914	16076	6258	16073	1	Seen
54474	16981	3860	0	1	One Unseen
54474	16981	5987	3296	1	One Unseen
125115	13358	6615	6208	1	Unseen
125115	13358	7490	18776	1	One Unseen
83897	16356	3198	6373	1	Seen
3884	12367	338785	4537	1	Seen
8687	3703	3849	13408	1	One Unseen
8687	3703	3853	20666	1	One Unseen
3860	0	3849	13408	1	Seen
3860	0	3853	20666	1	Seen
5878	9196	55198	5039	1	Unseen
6774	8172	640	16092	1	Seen
84313	7678	11267	243	1	One Unseen
2896	6390	3198	6373	1	Seen
2896	6390	388818	13478	1	Seen
80174	10996	5987	3296	1	Seen
2670	6006	9124	1766	1	Seen
10614	11970	10614	11970	1	Seen
284058	0	5987	3296	1	Seen
284058	0	7186	12713	1	One Unseen
80279	21506	8468	12504	1	Seen
10241	17720	4342	6420	1	Seen
10241	17720	6464	22329	1	Seen
10241	17720	8115	9609	1	One Unseen
10241	17720	64518	14712	1	Seen
10241	17720	84904	20869	1	Seen
10241	17720	112858	18884	1	Seen
10241	17720	284058	0	1	Seen
11267	243	84313	7678	1	One Unseen
80221	20813	10488	11820	1	One Unseen
10140	9217	29883	9579	1	Seen
4830	17749	4830	17749	1	Seen
140735	17448	10126	15593	1	One Unseen
6827	21465	6829	19889	1	One Unseen
3838	4862	4292	8642	1	One Unseen
3838	4862	64802	3569	1	One Unseen
23580	14789	171483	19767	1	Seen
30833	11114	30833	11114	1	Unseen
51181	5824	51181	5824	1	Seen
79415	9127	10488	11820	1	One Unseen
1068	15374	134359	14339	1	Seen
10403	2574	468	11579	1	One Unseen
10403	2574	10318	17412	1	Seen
10403	2574	51019	3896	1	One Unseen
10403	2574	200081	2670	1	Seen
6760	21445	84807	20992	1	One Unseen
10982	7487	7185	13651	1	One Unseen
7572	8434	7572	8434	1	Seen
7572	8434	9666	21096	1	One Unseen
51224	16422	1856	15354	1	Seen
51224	16422	7186	12713	1	One Unseen
51224	16422	10241	17720	1	Seen
51224	16422	23099	15832	1	Seen
220134	6762	1838	19974	1	Seen
4089	12066	4088	3739	1	Seen
80323	19581	24144	5115	1	One Unseen
51298	18701	2275	19329	1	One Unseen
55658	10184	7917	9798	1	Seen
5725	16175	6626	19110	1	One Unseen
92960	9063	10488	11820	1	One Unseen
126003	7782	23582	17607	1	Unseen
5300	18204	80764	1160	1	Seen
1032	2445	1021	8094	1	Unseen
1032	2445	1019	16355	1	Unseen
57474	21469	23281	2852	1	Seen
5886	11960	7186	12713	1	Unseen
5886	11960	55768	12445	1	One Unseen
81576	2443	7186	12713	1	Unseen
81576	2443	7572	8434	1	One Unseen
81576	2443	7718	9369	1	One Unseen
66002	14839	10488	11820	1	One Unseen
29086	1033	5987	3296	1	One Unseen
29086	1033	9577	18686	1	One Unseen
23149	11911	56891	4514	1	Unseen
23149	11911	56915	8716	1	Unseen
9454	8774	9454	8774	1	Seen
80714	1899	24144	5115	1	Seen
56301	6777	10488	11820	1	One Unseen
5349	3594	10488	11820	1	Unseen
84807	20992	6760	21445	1	One Unseen
199745	2791	24144	5115	1	One Unseen
1891	16442	7185	13651	1	One Unseen
6829	19889	6827	21465	1	One Unseen
56891	4514	2670	6006	1	One Unseen
56891	4514	6925	5961	1	One Unseen
56891	4514	22806	9242	1	One Unseen
6626	19110	6626	19110	1	Unseen
56915	8716	11340	1664	1	Unseen
7767	20242	23281	2852	1	Seen
5817	12957	7780	2462	1	Seen
79760	15958	79833	20437	1	Seen
339345	16112	23582	17607	1	One Unseen
1406	10864	5565	20294	1	One Unseen
56344	12128	387032	17361	1	Seen
56344	12128	6925	5961	1	Seen
56344	12128	388324	3404	1	One Unseen
163071	21566	11275	10799	1	Seen
51171	7174	51171	7174	1	Seen
51171	7174	55093	10502	1	One Unseen
51171	7174	5252	0	1	Seen
2512	2150	2512	2150	1	Unseen
23636	13453	1838	19974	1	Seen
23636	13453	3298	22077	1	Seen
23636	13453	9818	0	1	Seen
79165	17276	23641	12471	1	Unseen
79165	17276	54763	17597	1	One Unseen
7138	16638	23582	17607	1	One Unseen
51545	14122	23281	2852	1	One Unseen
29903	11986	468	11579	1	One Unseen
29903	11986	171483	19767	1	Seen
27300	16098	7186	12713	1	Unseen
342945	10705	84547	5615	1	Seen
27111	16926	54819	22100	1	One Unseen
27111	16926	55646	0	1	One Unseen
5111	5982	1026	4181	1	One Unseen
5111	5982	5111	5982	1	Seen
57144	17215	2275	19329	1	Seen
57144	17215	9491	16346	1	Seen
57144	17215	64170	1674	1	Seen
57144	17215	91647	16795	1	One Unseen
598	2161	578	19612	1	One Unseen
22919	20323	22919	20323	1	Unseen
26051	5731	1406	10864	1	Seen
26051	5731	22806	9242	1	Seen
958	5669	7186	12713	1	One Unseen
112858	18884	23582	17607	1	One Unseen
9825	8040	5987	3296	1	Seen
9825	8040	7186	12713	1	One Unseen
6615	6208	5987	3296	1	One Unseen
79444	17631	329	8928	1	One Unseen
79444	17631	842	18677	1	One Unseen
79444	17631	5252	0	1	Seen
84619	9738	5987	3296	1	Seen
84619	9738	23641	12471	1	One Unseen
84619	9738	24144	5115	1	Seen
57473	5455	2275	19329	1	One Unseen
57473	5455	7185	13651	1	One Unseen
388818	13478	2896	6390	1	Seen
874	218	6386	1253	1	One Unseen
150082	18065	24144	5115	1	One Unseen
875	12725	875	12725	1	Seen
1312	1406	10488	11820	1	Unseen
80764	1160	5300	18204	1	Seen
80764	1160	7186	12713	1	One Unseen
164592	2461	7185	13651	1	Seen
4282	2353	4282	2353	1	Seen
24144	5115	1329	17117	1	One Unseen
24144	5115	2669	3766	1	Seen
24144	5115	3853	20666	1	Seen
24144	5115	7138	16638	1	Seen
24144	5115	51361	4655	1	One Unseen
24144	5115	56997	19456	1	One Unseen
24144	5115	63898	19634	1	Seen
24144	5115	80323	19581	1	One Unseen
24144	5115	80714	1899	1	Seen
24144	5115	80764	1160	1	Seen
24144	5115	84619	9738	1	Seen
24144	5115	146849	10105	1	Seen
24144	5115	199745	2791	1	One Unseen
24144	5115	200081	2670	1	Seen
24144	5115	220965	12932	1	One Unseen
24144	5115	284058	0	1	Seen
24144	5115	896	568	1	Seen
24144	5115	27341	19168	1	One Unseen
24144	5115	150082	18065	1	One Unseen
91445	384	10477	4235	1	One Unseen
27128	8054	2353	12278	1	One Unseen
84645	12929	23582	17607	1	One Unseen
11144	6076	6386	1253	1	One Unseen
11144	6076	11144	6076	1	Seen
11144	6076	26003	16170	1	Seen
10126	15593	140735	17448	1	One Unseen
468	11579	8945	14896	1	One Unseen
468	11579	23641	12471	1	Unseen
468	11579	29903	11986	1	One Unseen
27341	19168	24144	5115	1	One Unseen
11252	14052	11252	14052	1	Unseen
638	13871	598	2161	1	One Unseen
706	623	90993	15892	1	One Unseen
171483	19767	7518	14473	1	Seen
171483	19767	23580	14789	1	Seen
171483	19767	23623	2602	1	Seen
171483	19767	29903	11986	1	Seen
171483	19767	60314	0	1	Seen
