,hippieName,entry,geneID
54,ANR43_HUMAN,Q2M3V2,
55,SWAHA_HUMAN,Q2M3V2,
56,MMP37_HUMAN,Q96BW9,132001;
57,TAM41_HUMAN,Q96BW9,132001;
58,F222B_HUMAN,Q8WU58,55731;
59,CQ063_HUMAN,Q8WU58,55731;
60,TEAN2_HUMAN,Q96MN5,127428;
61,CA083_HUMAN,Q96MN5,127428;
62,CE035_HUMAN,Q8NE22,133383;
63,SETD9_HUMAN,Q8NE22,133383;
64,AMFR1_HUMAN,Q9UKV5,267;
65,AMFR2_HUMAN,Q9UKV5,267;
66,PSG6_HUMAN,Q00889,5675;
67,PSG10_HUMAN,Q00889,5675;
68,MAP2_HUMAN,P50579,10988;
69,AMPM2_HUMAN,P50579,10988;
70,CA125_HUMAN,Q5T1B0,126859;
71,AXDN1_HUMAN,Q5T1B0,126859;
72,TM242_HUMAN,Q9NWH2,729515;
73,CF035_HUMAN,Q9NWH2,729515;
74,GTDC2_HUMAN,Q8NAT1,84892;
75,AGO61_HUMAN,Q8NAT1,84892;
76,CK051_HUMAN,P60006,25906;
77,APC15_HUMAN,P60006,25906;
78,LACC1_HUMAN,Q8IV20,144811;
79,CM031_HUMAN,Q8IV20,144811;
80,CM028_HUMAN,Q96KW9,122258;
81,SPAC7_HUMAN,Q96KW9,122258;
82,SGT1_HUMAN,Q9Y2Z0,10910;
83,SUGT1_HUMAN,Q9Y2Z0,10910;
84,NYAP1_HUMAN,Q6ZVC0,222950;
85,CG051_HUMAN,Q6ZVC0,222950;
86,DRB3_HUMAN,P79483,3125;
87,2B32_HUMAN,P79483,3125;
88,DYST_HUMAN,Q03001,667;
89,BPAEB_HUMAN,Q03001,667;
90,TTMA_HUMAN,A6NKL6,645369;
91,T200C_HUMAN,A6NKL6,645369;
92,CM039_HUMAN,Q5VZV1,196541;
93,MT21C_HUMAN,Q5VZV1,196541;
94,TM231_HUMAN,Q9H6L2,79583;
95,U513_HUMAN,Q9H6L2,79583;
96,PME17_HUMAN,P40967,6490;
97,PMEL_HUMAN,P40967,6490;
98,F164A_HUMAN,Q96GY0,51101;
99,ZC21A_HUMAN,Q96GY0,51101;
100,CJ068_HUMAN,Q96M83,79741;
101,CCDC7_HUMAN,Q96M83,79741;
102,C1T9L_HUMAN,B2RNN3,387911;
103,C1T9B_HUMAN,B2RNN3,387911;
104,PDZD6_HUMAN,Q9ULD6,27152;
105,INTU_HUMAN,Q9ULD6,27152;
106,ZSC30_HUMAN,Q86W11,100101467;
107,Z397O_HUMAN,Q86W11,100101467;
108,KR41X_HUMAN,Q9BYR0,
109,KRA47_HUMAN,Q9BYR0,
110,PSL1_HUMAN,Q8TCT7,56928;
111,SPP2B_HUMAN,Q8TCT7,56928;
112,TTC40_HUMAN,Q8IYW2,54777;
113,CJ092_HUMAN,Q8IYW2,54777;
114,ATAT_HUMAN,Q5SQI0,79969;
115,CF134_HUMAN,Q5SQI0,79969;
116,CS028_HUMAN,Q6NUT3,126321;
117,MFS12_HUMAN,Q6NUT3,126321;
118,1A24_HUMAN,P04439,3105;
119,1A01_HUMAN,P04439,3105;
120,1A26_HUMAN,P04439,3105;
121,1A36_HUMAN,P04439,3105;
122,1A68_HUMAN,P04439,3105;
123,1A69_HUMAN,P04439,3105;
124,1A30_HUMAN,P04439,3105;
125,1A31_HUMAN,P04439,3105;
126,1A03_HUMAN,P04439,3105;
127,1A29_HUMAN,P04439,3105;
128,1A02_HUMAN,P04439,3105;
129,1A66_HUMAN,P04439,3105;
130,1A11_HUMAN,P04439,3105;
131,1A23_HUMAN,P04439,3105;
132,RHINO_HUMAN,Q9BSD3,83695;
133,CL032_HUMAN,Q9BSD3,83695;
134,LRRC6_HUMAN,Q86X45,23639;
135,TILB_HUMAN,Q86X45,23639;
136,CJ072_HUMAN,Q8IW00,196740;
137,VSTM4_HUMAN,Q8IW00,196740;
138,COA5_HUMAN,Q86WW8,493753;
139,CB064_HUMAN,Q86WW8,493753;
140,PEVR1_HUMAN,Q9HAB3,79581;
141,S52A2_HUMAN,Q9HAB3,79581;
142,CF146_HUMAN,Q8IXS0,222826;
143,F217A_HUMAN,Q8IXS0,222826;
144,FA20B_HUMAN,O75063,9917;
145,XYLK_HUMAN,O75063,9917;
146,K0748_HUMAN,A2RU30,9840;
147,TESP1_HUMAN,A2RU30,9840;
148,AXA81_HUMAN,Q5VT79,728113;
149,AXA82_HUMAN,Q5VT79,728113;
150,MCAR1_HUMAN,Q9H1U9,92014;
151,S2551_HUMAN,Q9H1U9,92014;
152,TEN1L_HUMAN,Q86WV5,100134934;
153,YQ023_HUMAN,Q86WV5,100134934;
154,IGF1_HUMAN,P05019,3479;
155,IGF1B_HUMAN,P05019,3479;
156,CX022_HUMAN,Q6ZTR5,286464;
157,CX059_HUMAN,Q6ZTR5,286464;
158,K1688_HUMAN,Q9C0H5,80728;
159,RHG39_HUMAN,Q9C0H5,80728;
160,K0552_HUMAN,O60299,9762;
161,PRIP1_HUMAN,O60299,9762;
162,SYCE3_HUMAN,A1L190,644186;
163,CV041_HUMAN,A1L190,644186;
164,1C15_HUMAN,P10321,3107;
165,1C17_HUMAN,P10321,3107;
166,1C04_HUMAN,P10321,3107;
167,1C07_HUMAN,P10321,3107;
168,1C12_HUMAN,P10321,3107;
169,1C03_HUMAN,P10321,3107;
170,1C06_HUMAN,P10321,3107;
171,1C16_HUMAN,P10321,3107;
172,1C14_HUMAN,P10321,3107;
173,1C18_HUMAN,P10321,3107;
174,1C01_HUMAN,P10321,3107;
175,1C08_HUMAN,P10321,3107;
176,1C05_HUMAN,P10321,3107;
177,1C02_HUMAN,P10321,3107;
178,MLE3_HUMAN,P05976,4632;
179,MYL1_HUMAN,P05976,4632;
180,AP4AT_HUMAN,Q96N21,146705;
181,CQ056_HUMAN,Q96N21,146705;
182,2B14_HUMAN,P01911,3123;
183,2B11_HUMAN,P01911,3123;
184,2B13_HUMAN,P01911,3123;
185,K1486_HUMAN,Q9P242,57624;
186,NYAP2_HUMAN,Q9P242,57624;
187,T53G3_HUMAN,Q9ULZ0,102723655;102723713;102724101;102724127;24150;653550;729264;729355;
188,TPTG3_HUMAN,Q9ULZ0,102723655;102723713;102724101;102724127;24150;653550;729264;729355;
189,HA27_HUMAN,P01909,3117;
190,DQA1_HUMAN,P01909,3117;
191,MOB3C_HUMAN,Q70IA8,148932;
192,MOL2C_HUMAN,Q70IA8,148932;
193,RLBL1_HUMAN,Q8IUQ0,157807;
194,CLVS1_HUMAN,Q8IUQ0,157807;
195,LCOR_HUMAN,Q96JN0,84458;
196,CJ012_HUMAN,Q96JN0,84458;
197,PXDC1_HUMAN,Q5TGL8,221749;
198,CF145_HUMAN,Q5TGL8,221749;
199,F198B_HUMAN,Q6UWH4,51313;
200,ENED_HUMAN,Q6UWH4,51313;
201,IMA1_HUMAN,P52292,3838;
202,IMA2_HUMAN,P52292,3838;
203,MB213_HUMAN,Q8N8X9,126868;
204,CA161_HUMAN,Q8N8X9,126868;
205,S12IP_HUMAN,Q8N9Q2,285672;
206,SR1IP_HUMAN,Q8N9Q2,285672;
207,MUT7B_HUMAN,Q8N9H8,54932;
208,MUT7_HUMAN,Q8N9H8,54932;
209,SAPC2_HUMAN,Q86UD0,89958;
210,CI140_HUMAN,Q86UD0,89958;
211,FA21A_HUMAN,Q641Q2,387680;
212,FA21B_HUMAN,Q641Q2,387680;
213,1B08_HUMAN,P01889,3106;
214,1B27_HUMAN,P01889,3106;
215,1B44_HUMAN,P01889,3106;
216,1B73_HUMAN,P01889,3106;
217,1B13_HUMAN,P01889,3106;
218,1B07_HUMAN,P01889,3106;
219,1B55_HUMAN,P01889,3106;
220,1B35_HUMAN,P01889,3106;
221,1B15_HUMAN,P01889,3106;
222,1B51_HUMAN,P01889,3106;
223,1B53_HUMAN,P01889,3106;
224,1B46_HUMAN,P01889,3106;
225,1B42_HUMAN,P01889,3106;
226,1B45_HUMAN,P01889,3106;
227,1B57_HUMAN,P01889,3106;
228,AL1L1_HUMAN,O75891,10840;
229,FTHFD_HUMAN,O75891,10840;
230,GATC_HUMAN,O43716,283459;
231,GATCL_HUMAN,O43716,283459;
232,MIA2_HUMAN,Q96PC5,4253;
233,CTGE5_HUMAN,Q96PC5,4253;
234,MCP62_HUMAN,Q6ZT89,153328;
235,S2548_HUMAN,Q6ZT89,153328;
236,PAL4A_HUMAN,Q9Y536,653505;
237,PAL4B_HUMAN,Q9Y536,653505;
238,CC054_HUMAN,Q96EL1,389119;
239,F212A_HUMAN,Q96EL1,389119;
240,CB039_HUMAN,Q96MC2,92749;
241,CC164_HUMAN,Q96MC2,92749;
242,KAD8_HUMAN,Q96MA6,158067;
243,CI098_HUMAN,Q96MA6,158067;
244,FUCM_HUMAN,A2VDF0,282969;
245,CJ125_HUMAN,A2VDF0,282969;
246,CB034_HUMAN,Q7Z624,79823;
247,CMKMT_HUMAN,Q7Z624,79823;
248,CJ079_HUMAN,Q8NDM7,80217;
249,WDR96_HUMAN,Q8NDM7,80217;
250,ASIC4_HUMAN,Q96FT7,55515;
251,ACCN4_HUMAN,Q96FT7,55515;
252,GLYL3_HUMAN,Q5SZD4,389396;
253,ZN697_HUMAN,Q5TEC3,90874;
254,TMED4_HUMAN,Q7Z7H5,222068;
255,SALL1_HUMAN,Q9NSC2,6299;
256,PPM1F_HUMAN,P49593,9647;
257,AQP11_HUMAN,Q8NBQ7,282679;
258,DRA_HUMAN,P01903,3122;
259,CN048_HUMAN,Q8NCU1,
260,RT23_HUMAN,Q9Y3D9,51649;
261,KSYK_HUMAN,P43405,6850;
262,VWA1_HUMAN,Q6PCB0,64856;
263,S4A5_HUMAN,Q9BY07,57835;
264,SLPI_HUMAN,P03973,6590;
265,COTL1_HUMAN,Q14019,23406;
266,TLL1_HUMAN,O43897,7092;
267,LCE3E_HUMAN,Q5T5B0,353145;
268,UBFL6_HUMAN,P0CB48,
269,PD2R_HUMAN,Q13258,5729;
270,GNLY_HUMAN,P22749,10578;
271,H1X_HUMAN,Q92522,8971;
272,ZN133_HUMAN,P52736,7692;
273,CL18C_HUMAN,Q8NCF0,283971;
274,SC61B_HUMAN,P60468,10952;
275,HPLN3_HUMAN,Q96S86,145864;
276,SYPH_HUMAN,P08247,6855;
277,STML1_HUMAN,Q9UBI4,9399;
278,MYOD1_HUMAN,P15172,4654;
279,IGSF2_HUMAN,Q93033,9398;
280,SRSF4_HUMAN,Q08170,6429;
281,BCL9_HUMAN,O00512,607;
282,FOCAD_HUMAN,Q5VW36,54914;
283,GAGD4_HUMAN,Q8WTP9,170626;
284,HUS1_HUMAN,O60921,3364;
285,DEAF1_HUMAN,O75398,10522;
286,CASC2_HUMAN,Q8IU53,
287,DPOD2_HUMAN,P49005,5425;
288,B2L13_HUMAN,Q9BXK5,23786;
289,ACN9_HUMAN,Q9NRP4,57001;
290,UBS3B_HUMAN,Q8TF42,84959;
291,KPSH1_HUMAN,P11801,5681;
292,MEX3D_HUMAN,Q86XN8,399664;
293,ASPH2_HUMAN,Q6ICH7,57168;
294,ITB2_HUMAN,P05107,3689;
295,PGBD5_HUMAN,Q8N414,79605;
296,CA087_HUMAN,Q8N0U7,127795;
297,AMZ1_HUMAN,Q400G9,155185;
298,LY65B_HUMAN,Q8NDX9,58496;
299,ORAI2_HUMAN,Q96SN7,80228;
300,MS3L2_HUMAN,P0C860,
301,NCOR2_HUMAN,Q9Y618,9612;
302,U2D2L_HUMAN,Q8IWF7,
303,TM201_HUMAN,Q5SNT2,199953;
304,ODF2L_HUMAN,Q9ULJ1,57489;
305,CTU2_HUMAN,Q2VPK5,348180;
306,SC11C_HUMAN,Q9BY50,90701;
307,SOGA1_HUMAN,O94964,140710;
308,SMOX_HUMAN,Q9NWM0,54498;
309,CYH1_HUMAN,Q15438,9267;
310,CBPA5_HUMAN,Q8WXQ8,93979;
311,WASL_HUMAN,O00401,8976;
312,NMDZ1_HUMAN,Q05586,2902;
313,RB6I2_HUMAN,Q8IUD2,23085;
314,CLD8_HUMAN,P56748,9073;
315,APOL5_HUMAN,Q9BWW9,80831;
316,MYO3B_HUMAN,Q8WXR4,140469;
317,F151A_HUMAN,Q8WW52,338094;
318,CLIC2_HUMAN,O15247,1193;
319,H2AJ_HUMAN,Q9BTM1,55766;
320,FUS_HUMAN,P35637,2521;
321,ES8L2_HUMAN,Q9H6S3,64787;
322,ACVR1_HUMAN,Q04771,90;
323,NPM2_HUMAN,Q86SE8,10361;
324,YTDC2_HUMAN,Q9H6S0,64848;
325,GLRX1_HUMAN,P35754,2745;
326,CYYR1_HUMAN,Q96J86,116159;
327,DPP8_HUMAN,Q6V1X1,54878;
328,PTN2_HUMAN,P17706,5771;
329,ZN878_HUMAN,C9JN71,729747;
330,RBMS1_HUMAN,P29558,5937;
331,TIGD7_HUMAN,Q6NT04,91151;
332,JMJD8_HUMAN,Q96S16,339123;
333,ENOB_HUMAN,P13929,2027;
334,NFE4_HUMAN,Q86UQ8,58160;
335,TAOK2_HUMAN,Q9UL54,9344;
336,SDC2_HUMAN,P34741,6383;
337,TBG2_HUMAN,Q9NRH3,27175;
338,SIR6_HUMAN,Q8N6T7,51548;
339,MYG_HUMAN,P02144,4151;
340,DAZL_HUMAN,Q92904,1618;
341,RS8_HUMAN,P62241,6202;
342,GAMT_HUMAN,Q14353,2593;
343,MSRE_HUMAN,P21757,4481;
344,PCP2_HUMAN,Q8IVA1,126006;
345,RPA1_HUMAN,O95602,25885;
346,DRG1_HUMAN,Q9Y295,4733;
347,PREP_HUMAN,Q5JRX3,10531;
348,ZN668_HUMAN,Q96K58,79759;
349,RNZ2_HUMAN,Q9BQ52,60528;
350,THMS1_HUMAN,Q8N1K5,387357;
351,STRN4_HUMAN,Q9NRL3,29888;
352,LSM5_HUMAN,Q9Y4Y9,23658;
353,TTC25_HUMAN,Q96NG3,83538;
354,DERP6_HUMAN,Q8TE02,23587;
355,MSH3_HUMAN,P20585,4437;
356,TRPC1_HUMAN,P48995,7220;
357,IQCAL_HUMAN,A6NCM1,392843;
358,RPGF6_HUMAN,Q8TEU7,51735;
359,PLD3_HUMAN,Q8IV08,23646;
360,SF3B3_HUMAN,Q15393,23450;
361,MBLC1_HUMAN,A4D2B0,255374;
362,APCD1_HUMAN,Q8J025,147495;
363,GDIB_HUMAN,P50395,2665;
364,RP1_HUMAN,P56715,6101;
365,TLR1_HUMAN,Q15399,7096;
366,GTR3_HUMAN,P11169,6515;
367,AROS_HUMAN,Q86WX3,91582;
368,TSYL1_HUMAN,Q9H0U9,7259;
369,FLII_HUMAN,Q13045,2314;
370,JUND_HUMAN,P17535,3727;
371,NUDC_HUMAN,Q9Y266,10726;
372,GPC5D_HUMAN,Q9NZD1,55507;
373,THOC7_HUMAN,Q6I9Y2,80145;
374,CF226_HUMAN,Q5I0X4,441150;
375,PURG_HUMAN,Q9UJV8,29942;
376,EI2BA_HUMAN,Q14232,1967;
377,ZFAN6_HUMAN,Q6FIF0,54469;
378,FGF19_HUMAN,O95750,9965;
379,FRYL_HUMAN,O94915,285527;
380,BARX1_HUMAN,Q9HBU1,56033;
381,MAPK5_HUMAN,Q8IW41,8550;
382,ERR1_HUMAN,P11474,2101;
383,PA1_HUMAN,Q9BTK6,79447;
384,FA70B_HUMAN,Q8WV15,348013;
385,YPEL5_HUMAN,P62699,51646;
386,GDF15_HUMAN,Q99988,9518;
387,F177A_HUMAN,Q8N128,283635;
388,GAS7_HUMAN,O60861,8522;
389,UNC5C_HUMAN,O95185,8633;
390,ROA0_HUMAN,Q13151,10949;
391,CDK8_HUMAN,P49336,1024;
392,BDH_HUMAN,Q02338,622;
393,A4GAT_HUMAN,Q9NPC4,53947;
394,PNRC2_HUMAN,Q9NPJ4,55629;
395,Z804A_HUMAN,Q7Z570,91752;
396,BATF3_HUMAN,Q9NR55,55509;
397,PCDAB_HUMAN,Q9Y5I1,56138;
398,MYO7A_HUMAN,Q13402,4647;
399,CND3_HUMAN,Q9BPX3,64151;
400,RD21L_HUMAN,Q9H4I0,642636;
401,ZN37A_HUMAN,P17032,7587;
402,THBG_HUMAN,P05543,6906;
403,DVL3_HUMAN,Q92997,1857;
404,RIMS2_HUMAN,Q9UQ26,9699;
405,PRAM5_HUMAN,Q5TYX0,343068;
406,STAR7_HUMAN,Q9NQZ5,56910;
407,S10AB_HUMAN,P31949,6282;
408,SSX2_HUMAN,Q16385,6757;727837;
409,PP4C_HUMAN,P60510,5531;
410,LALBA_HUMAN,P00709,3906;
411,FCGRN_HUMAN,P55899,2217;
412,NPAS2_HUMAN,Q99743,4862;
413,SERC3_HUMAN,Q13530,10955;
414,K1161_HUMAN,Q6NSJ0,57462;
415,PPM1L_HUMAN,Q5SGD2,151742;
416,AAKB1_HUMAN,Q9Y478,5564;
417,MGN_HUMAN,P61326,4116;
418,GPTC4_HUMAN,Q5T3I0,
419,UBP15_HUMAN,Q9Y4E8,9958;
420,RUND1_HUMAN,Q96C34,
421,VATG3_HUMAN,Q96LB4,127124;
422,ABRAL_HUMAN,Q9P1F3,58527;
423,CT177_HUMAN,Q9NTX9,63939;
424,SAMD8_HUMAN,Q96LT4,142891;
425,CG059_HUMAN,Q0VGL1,389541;
426,KPRA_HUMAN,Q14558,5635;
427,ACHG_HUMAN,P07510,1146;
428,TM59L_HUMAN,Q9UK28,25789;
429,PIPNA_HUMAN,Q00169,5306;
430,PAX5_HUMAN,Q02548,5079;
431,NEXN_HUMAN,Q0ZGT2,91624;
432,COXM2_HUMAN,Q9NRP2,56942;
433,VWF_HUMAN,P04275,7450;
434,ZN860_HUMAN,A6NHJ4,344787;
435,RCN3_HUMAN,Q96D15,57333;
436,UDB15_HUMAN,P54855,7366;
437,DHB11_HUMAN,Q8NBQ5,51170;
438,CAB45_HUMAN,Q9BRK5,51150;
439,TIPRL_HUMAN,O75663,261726;
440,ADX_HUMAN,P10109,2230;
441,AF17_HUMAN,P55198,4302;
442,MGMT_HUMAN,P16455,4255;
443,PIAS2_HUMAN,O75928,9063;
444,ABHD5_HUMAN,Q8WTS1,51099;
445,CX048_HUMAN,Q8WUE5,54967;
446,NPTX1_HUMAN,Q15818,4884;
447,CC167_HUMAN,Q9P0B6,154467;
448,IFT43_HUMAN,Q96FT9,112752;
449,ARSB_HUMAN,P15848,411;
450,MTF1_HUMAN,Q14872,4520;
451,ASXL1_HUMAN,Q8IXJ9,171023;
452,NDUB1_HUMAN,O75438,4707;
453,TNF14_HUMAN,O43557,8740;
454,E41L1_HUMAN,Q9H4G0,2036;
455,S38A6_HUMAN,Q8IZM9,145389;
456,PI42C_HUMAN,Q8TBX8,79837;
457,RM23_HUMAN,Q16540,6150;
458,COR2A_HUMAN,Q92828,7464;
459,BOLA2_HUMAN,Q9H3K6,552900;654483;
460,OFCC1_HUMAN,Q8IZS5,
461,ATL5_HUMAN,Q6ZMM2,339366;
462,CNNM2_HUMAN,Q9H8M5,54805;
463,FAIM1_HUMAN,Q9NVQ4,55179;
464,PGAM5_HUMAN,Q96HS1,192111;
465,PE2R3_HUMAN,P43115,5733;
466,OR4KH_HUMAN,Q8NGC6,390436;
467,SCAI_HUMAN,Q8N9R8,286205;
468,RA51D_HUMAN,O75771,5892;
469,FUT7_HUMAN,Q11130,2529;
470,WDR25_HUMAN,Q64LD2,79446;
471,LCE2D_HUMAN,Q5TA82,353141;
472,S12A8_HUMAN,A0AV02,84561;
473,AL7A1_HUMAN,P49419,501;
474,K1C16_HUMAN,P08779,3868;
475,TENC1_HUMAN,Q63HR2,23371;
476,TGIF1_HUMAN,Q15583,7050;
477,PTPR2_HUMAN,Q92932,5799;
478,NLGN3_HUMAN,Q9NZ94,54413;
479,CRLF2_HUMAN,Q9HC73,64109;
480,TIGIT_HUMAN,Q495A1,201633;
481,CC88B_HUMAN,A6NC98,283234;
482,SC5A6_HUMAN,Q9Y289,8884;
483,RSAD2_HUMAN,Q8WXG1,91543;
484,CK010_HUMAN,P61165,746;
485,CF162_HUMAN,Q96KF7,57150;
486,NPAL2_HUMAN,Q9H841,79815;
487,68MP_HUMAN,P56378,9556;
488,CTND2_HUMAN,Q9UQB3,1501;
489,RCBT2_HUMAN,O95199,1102;
490,ZNF17_HUMAN,P17021,7565;
491,RM19_HUMAN,P49406,9801;
492,FA35A_HUMAN,Q86V20,54537;
493,SPCS_HUMAN,Q9HD40,51091;
494,RNAS1_HUMAN,P07998,6035;
495,PABP2_HUMAN,Q86U42,8106;
496,PSD13_HUMAN,Q9UNM6,5719;
497,GBB1_HUMAN,P62873,2782;
498,H1T_HUMAN,P22492,3010;
499,C99L2_HUMAN,Q8TCZ2,83692;
500,FANCJ_HUMAN,Q9BX63,83990;
501,U17L2_HUMAN,Q6R6M4,377630;
502,LYAM2_HUMAN,P16581,6401;
503,PSMD8_HUMAN,P48556,5714;
504,RNF37_HUMAN,O94941,22888;
505,BAHD1_HUMAN,Q8TBE0,22893;
506,ZN295_HUMAN,Q9ULJ3,49854;
507,PLLP_HUMAN,Q9Y342,51090;
508,LMTK3_HUMAN,Q96Q04,
509,TKN4_HUMAN,Q86UU9,255061;
510,COMT_HUMAN,P21964,1312;
511,FUK_HUMAN,Q8N0W3,197258;
512,TGFR2_HUMAN,P37173,7048;
513,ATRX_HUMAN,P46100,546;
514,5HT1A_HUMAN,P08908,3350;
515,AASS_HUMAN,Q9UDR5,10157;
516,ENK2_HUMAN,Q69384,
517,CCL26_HUMAN,Q9Y258,10344;
518,TAAR2_HUMAN,Q9P1P5,9287;
519,MT1A_HUMAN,P04731,4489;
520,GFRA4_HUMAN,Q9GZZ7,64096;
521,MRM1_HUMAN,Q6IN84,79922;
522,PSD11_HUMAN,O00231,5717;
523,ACSL5_HUMAN,Q9ULC5,51703;
524,GSTM1_HUMAN,P09488,2944;
525,SLAF1_HUMAN,Q13291,6504;
526,B4GT6_HUMAN,Q9UBX8,9331;
527,CDY2_HUMAN,Q9Y6F7,203611;9426;
528,TWST2_HUMAN,Q8WVJ9,117581;
529,CH074_HUMAN,Q6P047,203076;
530,SSR5_HUMAN,P35346,6755;
531,TEAD3_HUMAN,Q99594,7005;
532,RL30_HUMAN,P62888,6156;
533,GOLP3_HUMAN,Q9H4A6,64083;
534,VATA_HUMAN,P38606,523;
535,CS042_HUMAN,Q9BQ49,79086;
536,AMPL_HUMAN,P28838,51056;
537,H2A1A_HUMAN,Q96QV6,221613;
538,LRCH1_HUMAN,Q9Y2L9,23143;
539,TMTC2_HUMAN,Q8N394,160335;
540,TVB2_HUMAN,A0A1B0GX68,
541,PA2G4_HUMAN,Q9UQ80,5036;
542,SHLB1_HUMAN,Q9Y371,51100;
543,EGFR_HUMAN,P00533,1956;
544,HDGR3_HUMAN,Q9Y3E1,50810;
545,SET1B_HUMAN,Q9UPS6,23067;
546,MED27_HUMAN,Q6P2C8,9442;
547,GBRE_HUMAN,P78334,2564;
548,WFDC1_HUMAN,Q9HC57,58189;
549,DHX57_HUMAN,Q6P158,90957;
550,UBP13_HUMAN,Q92995,8975;
551,CAR18_HUMAN,P57730,59082;
552,CSRP1_HUMAN,P21291,1465;
553,CHCH9_HUMAN,Q5T1J5,
554,ADA2A_HUMAN,P08913,150;
555,FOSB_HUMAN,P53539,2354;
556,SPX2_HUMAN,Q8TED4,219855;
557,ZBT7C_HUMAN,A1YPR0,201501;
558,SERP2_HUMAN,Q8N6R1,387923;
559,GP153_HUMAN,Q6NV75,387509;
560,CYTA_HUMAN,P01040,1475;
561,GRP75_HUMAN,P38646,3313;
562,DHRS7_HUMAN,Q9Y394,51635;
563,GP112_HUMAN,Q8IZF6,139378;
564,BCE1_HUMAN,O60756,
565,ARP3B_HUMAN,Q9P1U1,57180;
566,SCN8A_HUMAN,Q9UQD0,6334;
567,RP9_HUMAN,Q8TA86,6100;
568,CDC73_HUMAN,Q6P1J9,79577;
569,UBP38_HUMAN,Q8NB14,84640;
570,SNX27_HUMAN,Q96L92,81609;
571,AT12A_HUMAN,P54707,479;
572,CEP70_HUMAN,Q8NHQ1,80321;
573,NDRG4_HUMAN,Q9ULP0,65009;
574,BCL6_HUMAN,P41182,604;
575,ANR39_HUMAN,Q53RE8,51239;
576,IPO11_HUMAN,Q9UI26,51194;
577,WIPF2_HUMAN,Q8TF74,147179;
578,MATN2_HUMAN,O00339,4147;
579,H15_HUMAN,P16401,3009;
580,SNX12_HUMAN,Q9UMY4,29934;
581,CANB2_HUMAN,Q96LZ3,5535;
582,SVOPL_HUMAN,Q8N434,136306;
583,HUS1B_HUMAN,Q8NHY5,135458;
584,CISD3_HUMAN,P0C7P0,284106;
585,CABL2_HUMAN,Q9BTV7,81928;
586,SYCM_HUMAN,Q9HA77,79587;
587,CL066_HUMAN,Q96MD2,144577;
588,CNTFR_HUMAN,P26992,1271;
589,DHX37_HUMAN,Q8IY37,57647;
590,CXA10_HUMAN,Q969M2,84694;
591,NPRL3_HUMAN,Q12980,8131;
592,AP2M1_HUMAN,Q96CW1,1173;
593,VW5B2_HUMAN,Q8N398,90113;
594,SUN1_HUMAN,O94901,23353;
595,NXF1_HUMAN,Q9UBU9,10482;
596,XPO5_HUMAN,Q9HAV4,57510;
597,ACRBP_HUMAN,Q8NEB7,84519;
